year,transmission,price,mileage,E ,G ,J ,XE,XLE
2016,Automatic,380000,35000,1,0,0,0,0
2022,Automatic,658000,5000,0,0,0,0,1
2022,Automatic,658000,5000,0,0,0,0,1
2014,Automatic,448000,25000,1,0,0,0,0
2018,Automatic,420000,45000,1,0,0,0,0
2014,Manual,314888,45000,0,0,1,0,0
2016,Automatic,480000,5000,0,1,0,0,0
2021,Automatic,612000,5000,0,0,0,0,1
2021,Automatic,598000,5000,0,0,0,0,1
2018,Manual,490000,15000,1,0,0,0,0
2008,Manual,298000,85000,1,0,0,0,0
2018,Automatic,449000,45000,1,0,0,0,0
2008,Manual,260000,155000,0,1,0,0,0
2018,Manual,405000,45000,1,0,0,0,0
2013,Automatic,328000,65000,0,1,0,0,0
2022,Automatic,649000,5000,0,0,0,0,1
2022,Automatic,114000,15000,0,0,0,0,1
2008,Manual,320000,65000,1,0,0,0,0
2022,Automatic,699000,5000,0,0,0,0,1
2017,Manual,555000,55000,0,1,0,0,0
2017,Automatic,380000,125000,1,0,0,0,0
2012,Manual,270000,125000,1,0,0,0,0
2021,Automatic,678000,15000,1,0,0,0,0
2019,Automatic,559000,25000,1,0,0,0,0
2021,Automatic,660000,5000,0,0,0,0,1
2016,Manual,330000,155000,0,0,1,0,0
2018,Automatic,518000,45000,1,0,0,0,0
2013,Automatic,335000,35000,0,1,0,0,0
2015,Manual,365000,35000,1,0,0,0,0
2021,Automatic,568000,5000,1,0,0,0,0
2018,Manual,488000,25000,0,0,1,0,0
2017,Manual,449000,45000,1,0,0,0,0
2016,Manual,365000,175000,1,0,0,0,0
2017,Manual,440000,75000,1,0,0,0,0
2022,Automatic,658000,5000,0,0,0,0,1
