,year,transmission,price,mileage,desc,XLE,XE,J ,E ,G ,variant
64,2017,Manual,368000,75000,2017 TOYOTA VIOS BASE J MANUAL GAS DUAL VVTI NA! FINANCING LOW DOWN! NOT 2015 2016 2018 2019 Manual,0,0,1,1,1,J 
65,2018,Automatic,478000,35000,Toyota Vios 1.3 E Auto,0,0,0,1,0,E 
66,2018,Automatic,498000,25000,2018 Toyota Vios E Auto,0,0,0,1,0,E 
67,2013,Automatic,317500,65000,Toyota Vios 1.3 g Auto,0,0,0,0,1,G 
68,2017,Manual,428000,55000,Toyota Vios 1.3 E Manual,0,0,0,1,0,E 
69,2017,Manual,399000,55000,Toyota Vios E Manual,0,0,0,1,0,E 
70,2019,Manual,140000,15000,2019 Toyota Vios 1.3E Manual Silver Manual,0,0,0,1,0,E 
71,2015,Automatic,458000,75000,Toyota Vios 1.5 E (A),0,0,0,1,0,E 
72,2012,Manual,360000,35000,Toyota Vios J Manual,0,0,1,0,0,J 
74,2007,Automatic,238000,5000,Toyota Vios G 2007 Auto,0,0,0,0,1,G 
75,2022,Manual,110000,5000,2022 Toyota Vios 1.3XLE Grayish Blue Financing Ok Manual,1,0,0,1,1,XLE
76,2018,Manual,400000,35000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
77,2016,Manual,342000,25000,2016 toyota vios 1.3 E BLACK Manual,0,0,0,1,0,E 
78,2013,Manual,338000,125000,Toyota Vios 1.3 G Manual,0,0,0,0,1,G 
79,2021,Manual,490000,5000,Toyota Vios 1.3 J Manual,0,0,1,0,0,J 
81,2014,Automatic,389999,45000,Toyota Vios 1.3E Auto,0,0,0,1,0,E 
82,2017,Manual,428000,55000,Toyota Vios 1.3 E Manual,0,0,0,1,0,E 
83,2013,Manual,358000,85000,2013 Toyota Vios 1.3 E Manual,0,0,0,1,0,E 
85,2008,Manual,298000,85000,Toyota Vios 1.5 E (M),0,0,0,1,0,E 
86,2021,Automatic,590000,15000,Toyota Vios Toyota Vios XLE Auto,1,0,0,1,0,XLE
89,2017,Automatic,428000,25000,2017 Toyota vios 1.3E silver Auto,0,0,0,1,0,E 
90,2019,Manual,468000,15000,2019 Toyota Vios 1.3J Manual All Power Jade Green Financing Ok Manual,0,0,1,1,1,J 
91,2015,Automatic,458000,75000,Toyota Vios 1.3 E Auto,0,0,0,1,0,E 
92,2022,Automatic,569000,15000,2022s Toyota Vios 1.3XE AT Automatic Gas Auto,0,1,0,1,0,XE
93,2018,Manual,360000,65000,Toyota Vios 1.3J Manual,0,0,1,0,0,J 
94,2019,Manual,468000,15000,2019 Toyota Vios 1.3J Jade Green Manual All power Manual,0,0,1,1,0,J 
95,2022,Automatic,658000,5000,2022 Toyota Vios 1.3XLE CVT Automatic Blackish Red Auto,1,0,0,1,0,XLE
96,2019,Automatic,610000,15000,2019 toyota vios 1.5 G prime Auto,0,0,0,1,1,E 
97,2022,Automatic,538000,15000,Toyota Vios 1.3XLE Automatic Auto,1,0,0,1,0,XLE
